Company,Job Title,Location,Actively Recruiting Indicator,LI Job Post URL
Infosys,Testing,"Bengaluru East, Karnataka, India (On-site)",1 company alum works here,https://www.linkedin.com/jobs/view/3841005176/?eBP=CwEAAAGOAJZrwPDvJ0DxI7KzGtjKQLuSdpdiEBrWUoodxYACUnozb6RAgz4z_KwVUWYlbxCLCIoc3nVc76sfQ2aVleS6hlISX2xJeqFntTwQmK7M_P7a3wPyC5rRm8FE4I1fozJzSu7sQIrtHwRFQTrGaUcXJukljntNXUnR3hkawqPTMxqrOA20yEi0vRYz6UfQMLPG8tpn4ADe1zY9kglE4KH0GWy1VZxjawQEfPZkFX9zaqk7Jy-4hLwNodzdedX54qkwJOM8xtyjLLpEyjRXDeNmEAyx1OfgX3b1S4DlUVgzA-nwv6gnu5Fy4OoTVZIKgFjgqBRPBUCXhtlHg378xX-jRcO9ez9hoFDLRVKu_jiLy9b-w7kZdjn6jQgtB0qw7qZKSTVF-qZVzMvCrsnSffnKwE_j&refId=ibH8CNuaZ4YZD7aNFHaaZw%3D%3D&trackingId=fBjdIFDyyBxV0dO4rBzWtQ%3D%3D&trk=flagship3_search_srp_jobs
Alteryx,Testing,"Bengaluru, Karnataka, India",1 school alum works here,https://www.linkedin.com/jobs/view/3775204614/?eBP=CwEAAAGOAJZrwDaznjuXvTVEEgVx8sTm_LrxVeQMSgYdGS93NJavJql27HaXlbO2-tS0y6i3S-3ICB9351X02tayDGleuHHvFEDSq3KXbHhRX69OFbFeUS9za8M_HOOHPGBYYrf5O461CsMY88wDqSNrHl2tLlPrvFggP0lfxjeH0GTvAe7fxtyrC2Vws6jHGqia3hOIvggZ0RoQ1WwxTzAfYS_DteDynaVoudj2Q2fZHiV8lX3iaGwZ8nar5j7IGa-Bc39bbJNd8K5NGbLTY6fMaoEBzIuNmkqAmRKn_vsavV4zQEjLNHMfKfC_g_aBZZOasFjmAqbrz9_mq3FGagB-xFDu_jeiZSSAssAvtR0_avG1ed7k8tDCuSngMdwfhY55XsDjxMNkOH24EtTTlFtynOI46n_ygO4&refId=ibH8CNuaZ4YZD7aNFHaaZw%3D%3D&trackingId=kHGHsAqSr7a8NHgoUZudgQ%3D%3D&trk=flagship3_search_srp_jobs
UST,Testing,"Thiruvananthapuram, Kerala, India",5 school alumni work here,https://www.linkedin.com/jobs/view/3813323911/?eBP=CwEAAAGOAJZrwLFuiE1rXH4aGmNZ4YADgo-5EmrvlPWbOeXAtU0aDdcDlXm0pMeLr2w0JsFCABFo41KyTYR_swBTcY1wjURhow8_RRTczXn7PmPh_DAw5rda-WjDbpLI3cAd43KqknysEkVy1oC8nGZPlY9lbXlUiNzg3bflv6cQDp7JfvruO_xsrEnsFDiYzo2kq_ThYrkJ5w51WZqPvZh8TsKOe3VWPDVcptVDqoDT23deOdLHwz9znYk6-I4EZe_XWhkc-hiGiUyFUlWLhaXqPHP8onKoPCuTtYK5bKzhltmlW9leDNqpGy5oyfhMSTEkNsPYdrM8iwH8s0YkRU5Mn9xaIUSvd5SlV521rbAGQUiF_Ti-CcZ49-zTYvSozys583ZguZoqEeK70tQ61nO2gXXqrcASOsw&refId=ibH8CNuaZ4YZD7aNFHaaZw%3D%3D&trackingId=iomv4rSxkY6B%2ByNohNopfw%3D%3D&trk=flagship3_search_srp_jobs
Nexwave,Testing,"Hyderabad, Telangana, India (On-site)",Actively recruiting,https://www.linkedin.com/jobs/view/3825473720/?eBP=CwEAAAGOAJZrwArAuLyo9CcdGYoHulc_FF-XuSeExTD3V66HwaaAFKhAnxjADmcxqm-3IpBaNx_kIfUOw9-us3QJI58qVEYS5wm0KSZhC40eODza1krAKxoUEKifpmpbsTlgVmInWXcbLar5BTlPY2-yzfO9viS44Oy1wxtDpG1Pa7SNJCm73Ti0s31GPkUI42mSBxHIqHOcI6SVSqfOX-8pQLvsZIF_XuP_t_aTboLZZXauY28XuqovpdzdlvvO2QZetWJbtVpznJEqk-784sh340nrOXx_OpNBrrsgXSgIg9Hv1jU11TfngCP8UcnqzCK7HFBwkjspdN-7y5y5d00_SwJA-qxHoY4r_1AP5wNwO3r9Y5_0KuAV6d0hiAVyeVGQxbCXuVvlwh4388J6RbQCDGGzDayCWww&refId=ibH8CNuaZ4YZD7aNFHaaZw%3D%3D&trackingId=DG71fLQvNeLaAfl0PCFx9g%3D%3D&trk=flagship3_search_srp_jobs
Veltris,DevOps Engineer,"Bengaluru, Karnataka, India (On-site)",Actively recruiting,https://www.linkedin.com/jobs/view/3822845404/?eBP=CwEAAAGOAJaZjLK44egSwbfyWZHmhw2LLA_822LDlqajfK4gM9mzocCEv3tWABaGxo8uVWNfddA-DY4CduzipALvNQ3bFee9Lmd_Cdn5aWJwctOyWC4ruAAzodDEHoqbFgA-Sf_JnZ1ho5nYZ6jralH9zUhW_LIwgHD2Rck4n0TbFBKPbKsTM2jAXoM-BeYXKxHcubzaurqkdJq5w7M4TQPg1bYwxYfbHJ2NgPB9omlqL2CPUn88KX5IUHnLWqHX5KURt3Ex26ITs9NCIny3Ye9CpIFMany9f3s8ojtTJBWm34B-CG-HD83OPtG6iLtn47YxOMbQ5yQbEX9Rd9qutbSSYBvTL4zblbCxJYkO7lt48PNZKfIWfO6OauJ9jjBvuMWLHkQEGnFfcEgkM_dB9V-Umy4ZEQ&refId=az3CG9OG9UOHIOB1u7yS8g%3D%3D&trackingId=zeJgqGS2LnR67wdux6httw%3D%3D&trk=flagship3_search_srp_jobs
Tata Consultancy Services,DevOps Engineer,"Hyderabad, Telangana, India (On-site)",9 connections work here,https://www.linkedin.com/jobs/view/3830966719/?eBP=CwEAAAGOAJaZjM-F0B6jadGzeGRAL8UFNfp9cPFFMmbgzElWCtZUzH0ULfocZxZo_Edim_2S8B-1Rwe9_lGPzQhHvu8ftDCAGad3vvRkYZB46FnrKai0ZR6wYHUm7ZHM20zo6JlbI39jkdj8bkWNG5bKnsafITCoCumMOKRXGCjTEXsc25mWsscIv6SJE490Qa5ecu96WEMJdfOfbmo8lwdUNHzFYfEck9FtvsHLw-VZlNDRPIpLa7mKsncuUd4BMgQOa_vlemGtZeioiXkBTh8TNa9M6OxGc-TIhDtazABLuR8LKgilM5L9ScJXIqrbRKsgIeedRxPO-Lp_q3bPk8q7IdIM2X3p0mxWdnH65qFvKaWki2mV-TTgqik8aVV5NYIpsVQ3ZHK9WbNzekhYFRLwhox_GQ&refId=az3CG9OG9UOHIOB1u7yS8g%3D%3D&trackingId=QnWAmgHbjSDqbzy0sA6JxQ%3D%3D&trk=flagship3_search_srp_jobs
Amazon,DevOps Engineer,"Bengaluru, Karnataka, India",1 connection works here,https://www.linkedin.com/jobs/view/3815674810/?eBP=CwEAAAGOAJaZjHzTvgOUqZIojjMfFGLsQZqQpyfxGXj36ev7MmEBJlOx-Tf8Ik0QbqcEE6DA5qLDagUxGCi7_JAVE-4Oz83XQgBKDwrkm949cRMXkNIW0V8GZeWFApSwLMyCMYEM3hZ4KRdeGev6Zqb41IU9Zmz9SL0nCVLa2WJ6fz8ECU0IdSbyu0XOIyNmMrV2rvObzT6DLOsRZ1lPXZInOZCaMh0vQU6b2ySMAsCzirfx09F3fimYnLBWnBANXNIgQ6ngQukBC3k2cJXrmG56GilPnx9W6-rCLitz9oYQjCeKt_EBKIXhQK-Vsv3HkL36pXpZJVkXyikMCLJPk_itt_mDGwBDHzznSYHkzCUF0E96DMyObdou4sE64ZFAnrzi4td_VouBFkNJeP2-EGAVPfA3uQ&refId=az3CG9OG9UOHIOB1u7yS8g%3D%3D&trackingId=%2FCzZJRWx5mfjnzt%2BRxyPwA%3D%3D&trk=flagship3_search_srp_jobs
Jamaav Corporation,DevOps Engineer,India (Remote),,https://www.linkedin.com/jobs/view/3833066495/?eBP=CwEAAAGOAJaZjGdiDZWwl0DRXO3FbJIKO09OlRRHmC1auEALZJK-3dEU5TIsuqHbe50Zi861RxBoSTQX64B5tKDPcZwbYXG07I61MauDX4UrGfSm1xZFIzkyuftXFcJXcuKDibKeGp3ZuGV1zPDgj64d_X3UDkFdO8YahrD9UH9KEt8Yl7qgMY4lJi-oWHrOOQCV5zOH3SAbu2zJLir3ikifNBNLEe6t0ihlzgW-PZzmiiFH6N_ZD0Rj61PEA4HOazHeT5MkIt9P98cnYBme3Wi79VMrsy9u6lsPyctYPbr9UknQd5U01dHr5c38vUkKd4UN88TIHZOg8lqWb0y_4gHsa9jbjXdjJ-NfccF5g28TX0wxNjw8P-tQdnSI_Ym-VWjmlsbJtdCXKrcUX7ZZNU86IRYhEsJeCigrfu33OjxFTWUEGx_w08vUeXcb&refId=az3CG9OG9UOHIOB1u7yS8g%3D%3D&trackingId=3%2FeSaCvMci%2FVx0O3EBs%2FqA%3D%3D&trk=flagship3_search_srp_jobs
Uplers,DevOps Engineer,"Mysore, Karnataka, India (On-site)",1 school alum works here,https://www.linkedin.com/jobs/view/3843911068/?eBP=CwEAAAGOAJaZjLSW1N5ku5AU2g704wftlyrb1XQVjvfEcRg9JIU92uQ2em4_i396A-2ymKRlThC7dyViD53CmuP8G6tboeVRZoo6dsw4RMmHfmjLlTp_043hiLLaLjBylmS-YIF2qpj9jkdc1pdNgwOwfKDU_6TRWzUCSdR8Z07Oswe8NC_mA_PqQj23CDdNY_AOxrIsLxaC7DjGo_jFAaCOde-0ynaYLMOSlFMLAtNS8XTiR6uOUMxOOQbpoIYRNv4kfJpFcXKIQgLVtdT1CbrmtgnH_GShJfE9kTerNNgzRWwmUFWzyXls_Ck_OO3OCAvUZFi6j5Ij0kA5cIyuoUjOeWo9RIqJwozuasZwNLEQKtTCmQyuljLFehqFIlW0f2n-d2HiPKLmiI5X0Mkc9UhYpBWpHsaQ&refId=az3CG9OG9UOHIOB1u7yS8g%3D%3D&trackingId=gGqXA41a7fqoB5zO7dR0yA%3D%3D&trk=flagship3_search_srp_jobs
Körber Supply Chain,DevOps Engineer,"Itanagar, Arunachal Pradesh, India (On-site)",,https://www.linkedin.com/jobs/view/3829896647/?eBP=CwEAAAGOAJaZjCp_DANNLyaC4yyyLgM73geiuebXz1r2a_XnwBf3OmYflz4_LxfU69dIXEegHPASwBZteNP22ZIJqolkIXyzB0PrWQR5n6P_LleRxo9CSBd3md9Sbe5VdXRDFjLdNeibD9M15h3rlQNOlJ-vF8U2Pbb2rtQJRvUlBMWUxhr1dvTsVwWNCBiJgXv6FSsOdJCEYsw34ZRlMTUC_S_zh6DZjxGODiislTlHbBEZEnEpOJeXQEcKkMt32lfxbOZ8wbtOiT7kgen42YmsSJoWzjqlz3MaOpFqoz3OigqApJD783-gj1s7Sn-h1NWLlv15vsCw4BWsBe9oh3shC4h3C5mTlL2LzPLztX_et__c5ZTWsn8tgbsYUn9XssrIa75eFakWceR9NCB2gClb-eOi6x4h&refId=az3CG9OG9UOHIOB1u7yS8g%3D%3D&trackingId=u%2BSdrHOsc5ytnjSLzIujwA%3D%3D&trk=flagship3_search_srp_jobs
WinZO,DevOps Engineer,"Delhi, India (On-site)",Actively recruiting,https://www.linkedin.com/jobs/view/3689537256/?eBP=CwEAAAGOAJaZjIPkRQFXzgLZAyHj1ELCpaGD9sS-m-qc17TYd8BJaGWoFvVSSS-saWvSUtQmptgUkUr3WOIL-l45j0XQ2t6UYEWVLn6wpfcSQ3mZzLMpWUlV5DZECb2Cmk7wIJIYrfxhH5KvNrHLdNtFXaH2KQShdYPCYjly3IPBC6zAxUTuDV25gdyEK9JxbuBPzWZk7gehWQTY6vFIBPQElr7p7MGqSbkq36WmLRjniOpij3rDfF1lRLHTdj9nceGtY4hEpxSv4JJqxTHeY9DA3hsCY6qO92f0nR9VsylBE2vRsCDSHGeLFvQGxRxVV6japufS7lwFkaYycRttfXSrYM_qYlZ6lvC4b6Cv0JFYodmGOM6Zj-5il5so7VYk_-o_Rhc2NEljIToZswfWmZBxCmsZbue1lkpeeA74WYf-rRVc3AA1Eg55eDU&refId=az3CG9OG9UOHIOB1u7yS8g%3D%3D&trackingId=yTwHSemGpSXt0%2FyVFWbCJA%3D%3D&trk=flagship3_search_srp_jobs
Technostacks Infotech Private Limited,Python Developer,"Ahmedabad, Gujarat, India (On-site)",Actively recruiting,https://www.linkedin.com/jobs/view/3830943917/?eBP=CwEAAAGOAJbo1RrFnz3x7js0aK49EQlrkvW_wME28FK3Xni-mKmUyTZaf4ONiACLYwsL_NV4befGTt_fBYggqeYzrHnOju0NSP2QyfwyVdoSK3IwiGP8oieAdfqPmaFmJ92zvKuapzxl_JdBZY_8l_uYhVAGculruUu4rAh-L4mbiQ3ytMuJwHMa3DyI2gBwGXv-i4KmzlFmLlLsd1dIiPiRvdS5vV_jL_PeW5HqCc0WV83CGMgJc_sWhRs2acO_OaQH2XfntPjs2TQFdYN8gNfDQa6pHuZ_lXxL-cP4XQoPxQZWyhWoif1XwaoMedTxiuT6yQznE3-owF1GuF41Jj_AS7-QAS2E0FtD82gcYVKNP9txtZwG6eVb6WEZ5W3cDHcMkje6Hxh07sHeBCRUvqPIy2OEkX1F&refId=vXwPt4zATVtTBnk4jyOvcg%3D%3D&trackingId=tTCQW41%2B7UjQccNAS56L0A%3D%3D&trk=flagship3_search_srp_jobs
Genpact,Python Developer,"Bengaluru, Karnataka, India (Hybrid)",6 school alumni work here,https://www.linkedin.com/jobs/view/3811742982/?eBP=CwEAAAGOAJbo1QIandezOi7EL9PjCCaSbMupyAMIiIZNLhTlH53krfyq2fp5NjAAn_XTUOZKH8y8_w4lNLb-rFCVyjFZD8tyDsIAjbTRoAobdq4xrFvBFI0HS31XI3vDFtxyHQ6ecI-FwqG8IThRwEJF7cbAApk6ws2trtXhp5mhp5g2cr7sYEl3Xkvl-DMHK7jJqwJOtV3orQhfdcx5gTvQ4lYqJGXHiDnhmwGM4SwVBLyY46etxKesxgxrVXaoEa9Wdne4312y-EswxKOZxzbMhVuZkm1kMDq54Dn9U6aPAAHvi8yT2-LiP8R4EU1UaQ06rX6Ke8tSzsVLiuFoxF-VTYT04T7VwnM_jUqf7Uq-KYyxJJ4rpEaHGUCvjHeRwLpJJ5Fzdx0NkDirAjJworg1v8u0-V_2&refId=vXwPt4zATVtTBnk4jyOvcg%3D%3D&trackingId=McgpUNdBtJ%2FQw1NZ5dbQHQ%3D%3D&trk=flagship3_search_srp_jobs
EPAM Anywhere,Python Developer,India (Remote),Actively recruiting,https://www.linkedin.com/jobs/view/3816175760/?eBP=CwEAAAGOAJbo1WMImo_TCDLUdUyeIUxH4nYn7ZxKGdK2q5pIqScymQc1w8s4LLEG8Nb-lanb_SWPd7DDJuCgo_ZIvE3Lp6VoXaALMKKV4jfSZalmJmFXhMrMXEcdcpW8DYUMBVRITN-fiJ12nNI12ZtXFqWScb4sAEWvTgJMQE4jdJoh6zfvJV7rVHBoPFMfX7bU-QFhdPl3hWG6n4du1mHARmwaSrJSiGoAEFOTyu9eQCMOglptMzVqFOWV5TA8gk1eSRXud_mXQ9VIgJzn8FmI_A82c3cVWQQosIyJF3MFrILAUR60GxXSyd13lzhYdsFj7bY6Qhfn0r_4UbFQ2Pz32P1Rs13hNTPHRgJbU_FZ_5t01EGbr9vZ_UywXr92ToXdju5Ff496LBAC4Imh5l0C-hTTx96ycu0&refId=vXwPt4zATVtTBnk4jyOvcg%3D%3D&trackingId=YszDcTGjzy9LYMi0xkq4sg%3D%3D&trk=flagship3_search_srp_jobs
Luxoft,Python Developer,India (Remote),2 school alumni work here,https://www.linkedin.com/jobs/view/3814531195/?eBP=CwEAAAGOAJbo1Rl17OXTKwrhsS3xT-pedrkcN6cISrdjr0wQ2i2rKxRoBpmjRuz26AO0BZnnNLuodSoiz5MS9L-rUcaWJ-DVffKk2NAf1vUCO3Awh7KTsaOdecTEAvcxsgSKtGunXKlC66xhDDQEBQzwLWhVdhevu0Qgjfz3mQDQpvNtvRXbnWUU8egin8d2eGMXbMrxEnZQyMo6Ibuwnxq_qhm_iBpK_OcssXrWdwYtR8n-c4sbmiBtS68s3_v0NFr84B4b6MnYn-6FWDXu_IqEhc-4yx5ICFkgngornl3-ECcoMpO5qLlU1EDlB0mlO4zhfTHUbRr_QmRgWDYTHZUO3zOVzlsG46hJa4fXa0Zx6YvnWkkedCU62L_UkCx3w9-Btu9xwQjqlEPt934-CZULtIQHHekhnzs&refId=vXwPt4zATVtTBnk4jyOvcg%3D%3D&trackingId=0JZiEDnbYKz90UZCBr0uuQ%3D%3D&trk=flagship3_search_srp_jobs
